rating_id,judge_clip_id,media_sha256,duplicate_group_size
aprime_0216_946f8f7c1db9,aprime_global_97eb5c98cffa2456c1ee,97eb5c98cffa2456c1eefecd70cdffd59e8cf519835a9e38abdc2410155604aa,1
aprime_0217_34ef2132d1e9,aprime_global_d53d7e70b2718ca939de,d53d7e70b2718ca939defab68e89a833935b72dbf674752deaed6a073d13beec,1
aprime_0218_b16ff7250545,aprime_global_a311f3ac7da4043dd4bb,a311f3ac7da4043dd4bb9f27e3945247e8cef695faa427ffb6344fd543cf7532,1
aprime_0219_a17cf6165637,aprime_global_93f4ad38ccbed5450aa7,93f4ad38ccbed5450aa7b0a8d880b3b8fb09a1d545a4662126ec3312d46ce075,1
aprime_0221_bfd44e8a20fa,aprime_global_ba29fc6e4f284ddb72a3,ba29fc6e4f284ddb72a3608c17c66aac8043fd298053826db0f97bacefc264d2,1
aprime_0222_6dd90b042626,aprime_global_bcd74b2128d383833283,bcd74b2128d38383328310b98b830fa30ee7ca266d1e3dcef74971e8ab6bba72,1
aprime_0224_28358dcedf55,aprime_global_cc31bda10f4e9264486a,cc31bda10f4e9264486a97644862c6cd3fc434da7f1213dc57feeea5303c9d81,1
aprime_0225_7e892593065c,aprime_global_62b98d5cf4c440913c6c,62b98d5cf4c440913c6c125851a4363413d52e73fd7de2f57ecca8a8dcba13e6,1
aprime_0226_3ee55f238dac,aprime_global_c77b3f3462db5c1eeacc,c77b3f3462db5c1eeacc50077c8a12aea511da4d3f04cb6edec95dfd1385251f,1
aprime_0227_8bc50d96e173,aprime_global_cbd4a36cf67d46421a9c,cbd4a36cf67d46421a9ce5b848a1e5ddfd0397b0e2ed6fff37149e4738c328ac,1
aprime_0229_a1351b13b596,aprime_global_9744703d9d661b76a934,9744703d9d661b76a93485e96eae4c71a57f6fe301b8218ccd9bf5f5b720404c,1
aprime_0230_98a9fbc5973e,aprime_global_44b3ae4ed380c2ae10f4,44b3ae4ed380c2ae10f402ba5380d7d2c06bb2a33f7c5d88c1fdc9081f0f1902,1
aprime_0231_d960af8b07f7,aprime_global_70319d85a0004bf2469c,70319d85a0004bf2469cf76f9fa77c5a1b5a492da968ef2ea673734bcbee3d8d,1
aprime_0232_45cacf920fa3,aprime_global_61d8055f9c1c036fb2b8,61d8055f9c1c036fb2b8958708bd471b2cdcc3e63a59d5a665c09cc217cdb79d,1
aprime_0233_ddc593e4ebbd,aprime_global_df3f8161c8e84c347bec,df3f8161c8e84c347becf246cae77b3f936d9dace7171b153c39cf688353226e,1
